b'0,212\r\n
b'0,211\r\n
b'0,212\r\n
b'1,211\r\n
b'1,212\r\n
b'1,211\r\n
b'2,211\r\n
b'2,211\r\n
b'2,211\r\n
b'3,212\r\n
b'41,205\r\n
b'108,199\r\n
b'183,212\r\n
b'258,625\r\n
b'333,609\r\n
b'408,559\r\n
b'483,459\r\n
b'558,404\r\n
b'633,328\r\n
b'708,269\r\n
b'783,242\r\n
b'858,225\r\n
b'933,215\r\n
b'1008,205\r\n
b'1091,616\r\n
b'1175,606\r\n
b'1258,551\r\n
b'1341,444\r\n
b'1425,379\r\n
b'1508,293\r\n
b'1592,238\r\n
b'1675,216\r\n
b'1758,196\r\n
b'1842,182\r\n
b'1925,548\r\n
b'2009,614\r\n
b'2092,554\r\n
b'2174,445\r\n
b'2258,389\r\n
b'2341,309\r\n
b'2425,260\r\n
b'2508,245\r\n
b'2591,233\r\n
b'2675,604\r\n
b'2758,584\r\n
b'2842,529\r\n
b'2925,432\r\n
b'3008,372\r\n
b'3092,295\r\n
b'3175,251\r\n
b'3259,232\r\n
b'3342,269\r\n
b'3425,616\r\n
b'3509,577\r\n
b'3592,508\r\n
b'3676,426\r\n
b'3759,359\r\n
b'3842,289\r\n
b'3926,255\r\n
b'4008,235\r\n
b'4092,526\r\n
b'4175,598\r\n
b'4258,573\r\n
b'4342,473\r\n
b'4425,419\r\n
b'4508,350\r\n
b'4592,297\r\n
b'4675,265\r\n
b'4759,261\r\n
b'4842,578\r\n
b'4925,581\r\n
b'5009,527\r\n
b'5092,449\r\n
b'5176,386\r\n
b'5259,323\r\n
b'5342,275\r\n
b'5426,243\r\n
b'5509,226\r\n
b'5593,215\r\n
b'5676,575\r\n
b'5758,587\r\n
b'5842,547\r\n
b'5925,460\r\n
b'6009,410\r\n
b'6092,349\r\n
b'6175,308\r\n
b'6259,287\r\n
b'6342,253\r\n
b'6426,481\r\n
b'6509,565\r\n
b'6592,557\r\n
b'6676,464\r\n
b'6759,416\r\n
b'6843,352\r\n
b'6926,302\r\n
b'7009,266\r\n
b'7093,236\r\n
b'7176,212\r\n
b'7260,342\r\n
b'7343,569\r\n
b'7426,559\r\n
